time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-22T16:49:35.740Z,30.4634,87.7605,10.94,4.8,mb,,51,2.63,0.71,us,us1000hfnn,2018-10-22T17:14:36.040Z,"98km WSW of Jiajuedibu, China",earthquake,6.9,4.1,0.06,86,reviewed,us,us
2018-10-18T07:51:59.050Z,33.5577,89.2093,10,4.7,mb,,52,5.949,0.74,us,us1000hdsq,2018-10-18T08:22:03.040Z,"208km NNW of Pubu, China",earthquake,9.2,1.9,0.079,48,reviewed,us,us
2018-10-14T14:26:49.780Z,34.1705,84.0333,10,4.6,mb,,90,7.494,0.57,us,us1000hbzw,2018-10-21T13:47:29.040Z,"211km N of Luring, China",earthquake,4.3,1.9,0.104,28,reviewed,us,us
2018-10-10T10:28:04.630Z,19.0119,95.5838,10,5.1,mb,,63,2.217,1.02,us,us1000h9ws,2018-10-10T10:48:07.040Z,"44km ENE of Prome, Burma",earthquake,7.1,1.8,0.041,193,reviewed,us,us
2018-10-04T13:29:18.660Z,19.4562,96.4059,50.52,4.5,mb,,113,1.432,0.73,us,us1000h6xu,2018-10-04T13:52:47.040Z,"36km SSE of Pyinmana, Burma",earthquake,8.4,10.6,0.145,14,reviewed,us,us
2018-10-01T13:24:44.800Z,12.9046,92.2347,25.65,5.1,mb,,77,1.337,0.88,us,us1000h4z5,2018-10-09T19:32:31.040Z,"143km NNW of Bamboo Flat, India",earthquake,6.7,3.9,0.055,106,reviewed,us,us
2018-09-27T21:13:19.910Z,34.2183,80.6914,10,5.3,mww,,29,6.195,0.67,us,us1000h3gn,2018-10-20T04:13:03.040Z,"131km NE of Rutog, China",earthquake,6.9,1.8,0.071,19,reviewed,us,us
2018-09-14T07:51:24.640Z,7.0619,94.1798,75.76,5.1,mww,,57,3.299,0.73,us,us2000heil,2018-10-14T06:21:55.103Z,"138km SE of Mohean, India",earthquake,7.8,6.2,0.103,9,reviewed,us,us
2018-09-12T04:50:46.570Z,26.3711,90.1611,10,5.3,mww,,18,1.723,0.64,us,us2000hd8v,2018-10-22T23:02:40.875Z,"6km NE of Sapatgram, India",earthquake,6.3,1.7,0.078,16,reviewed,us,us
2018-09-09T11:07:02.910Z,28.6531,76.8101,10,4.6,mb,,95,8.843,1.05,us,us2000hgq4,2018-09-21T08:25:02.134Z,"10km WSW of Bahadurgarh, India",earthquake,6.5,1.9,0.182,9,reviewed,us,us
2018-09-08T11:36:46.220Z,19.0589,95.7362,10,4.5,mb,,89,2.093,0.75,us,us2000hgnv,2018-09-21T09:22:29.040Z,"60km ENE of Prome, Burma",earthquake,6.1,1.8,0.089,37,reviewed,us,us
2018-09-01T19:19:46.550Z,24.7558,95.3651,149.33,4.6,mb,,43,1.102,0.64,us,us2000h6kw,2018-09-27T00:25:34.040Z,"131km E of Yairipok, India",earthquake,7,5.4,0.059,85,reviewed,us,us
2018-09-01T18:09:55.250Z,23.4903,82.446,10,4.7,mb,,78,9.928,0.97,us,us2000h6kg,2018-10-02T21:49:57.040Z,"28km NNW of Baikunthpur, India",earthquake,9.2,1.9,0.061,81,reviewed,us,us
2018-08-28T13:03:27.670Z,22.6926,87.7938,10,4.5,mb,,93,4.685,0.6,us,us1000gj5k,2018-09-06T15:06:49.447Z,"8km ENE of Ghatal, India",earthquake,9.1,1.9,0.139,15,reviewed,us,us
